date,year,return,value,n_features
2019-01-07,2019,0.01824296938423716,163789.09169353923,8
2019-01-14,2019,0.08234500084451561,177276.30458736618,8
2019-01-28,2019,0.07035148813065498,189747.95642539067,7
2019-02-04,2019,-0.012038013614290688,187463.76794265799,7
2019-02-11,2019,0.06024913477511033,198758.2977628852,7
2019-02-25,2019,-0.007876422755276202,197192.79338358564,7
2019-03-04,2019,-0.019341149609059305,193378.85806492539,8
2019-03-11,2019,0.012174681221186433,195733.1840167829,8
2019-03-18,2019,0.005187109125000177,196748.4734016617,8
2019-03-25,2019,0.027997264645882612,202256.89248016142,8
2019-04-01,2019,0.03617561798979876,209573.66055832754,6
2019-04-08,2019,0.014803367989711613,212676.0565765234,6
2019-04-15,2019,-0.04505677306580831,203093.55975882398,6
2019-04-22,2019,0.06697302704426074,216695.35022906688,6
2019-04-29,2019,-0.004800724582458627,215655.0555343177,5
2019-05-06,2019,-0.030479761152163054,209081.94095037525,5
2019-05-13,2019,0.013503787532002199,211905.33905774774,5
2019-05-20,2019,-0.04641769423122009,202069.18182340218,5
2019-06-03,2019,0.061790499870206184,214555.13757663377,7
2019-06-10,2019,-0.02866929853877568,208403.99228442117,7
2019-06-17,2019,0.06239342304523389,221407.03073933872,7
2019-06-24,2019,0.023021421445040425,226504.13530488405,7
2019-07-01,2019,0.008160648183124175,228352.55586512998,8
2019-07-08,2019,0.0036649211874438593,229189.44998532702,8
2019-07-15,2019,-0.022308691129560167,224076.5333354506,8
2019-07-22,2019,0.028121782048441478,230377.96476808045,8
2019-07-29,2019,-0.014282819935647261,227087.51778015707,6
2019-08-05,2019,0.011771636260578911,229760.70943878283,6
2019-08-12,2019,-0.019729912886464272,225227.5506568234,6
2019-08-19,2019,-0.0358034007544231,217163.63839972002,6
2019-08-26,2019,0.038248750427968145,225469.8762069004,6
2019-09-09,2019,-0.015501136545927208,221974.83686882394,6
2019-09-16,2019,0.0030721258580748033,222656.7715050106,6
2019-09-23,2019,-0.04278138929933384,213131.2054831219,6
2019-09-30,2019,-0.017736066581745136,209351.09623202568,6
2019-10-07,2019,-0.025891497516519747,203930.6828438535,6
2019-10-14,2019,0.0028554018695961525,204512.98689691385,6
2019-10-21,2019,-0.024290656541603894,199545.23217390338,6
2019-10-28,2019,0.0921683804965211,217936.99305917433,3
2019-11-04,2019,-0.00546257157438208,216746.49663588297,3
2019-11-11,2019,0.0072155725047662435,218310.44669751325,3
2019-11-18,2019,-0.004867237004457148,217247.87801288755,3
2019-11-25,2019,-0.010919603828624946,214875.61725237736,7
2019-12-02,2019,0.04210176064806189,223922.25905904148,7
2019-12-09,2019,0.03272173416516601,231249.38369363485,7
2019-12-16,2019,0.03313404665367005,238911.61156157218,7
2019-12-23,2019,0.0009752649682560511,239144.61368683775,7
2019-12-30,2019,-0.004140427379646349,238154.45278063382,7
2020-01-06,2020,0.01390133483739423,241465.1175717538,7
2020-01-13,2020,0.018407420323721647,245909.86748441393,7
2020-01-27,2020,-0.024389898942737964,239912.150667447,6
2020-02-03,2020,0.0025033583667710135,240512.73675711037,6
2020-02-10,2020,0.039739874641017844,250070.68276540606,6
