date,portfolio_value,cash,positions,trades,returns
2025-04-15,10053.58560371399,6991.777317047119,8,1,-0.003003270677626624
2025-04-16,10001.13497543335,5760.7907066345215,11,3,-0.005217106647131264
2025-04-17,10039.306247711182,5030.09069442749,13,2,0.0038166940423858264
2025-04-18,10039.306247711182,5030.09069442749,13,0,0.0
2025-04-21,9907.314903259277,3190.7734718322754,17,4,-0.013147456726105622
2025-04-22,10102.531587600708,3428.4834785461426,16,1,0.019704297909942214
2025-04-23,10262.083753585815,2463.989559173584,18,2,0.01579328553458148
2025-04-24,10531.084693908691,2927.029567718506,17,1,0.02621309149117801
2025-04-25,10555.137838363647,982.3724842071533,21,4,0.002284013960011988
2025-04-28,10628.460241317749,456.71104621887207,22,1,0.006946607810994543
2025-04-29,10665.000564575195,456.71104621887207,22,0,0.0034379696049853248
2025-04-30,10585.59266281128,456.71104621887207,22,0,-0.007445653779679762
2025-05-01,10679.752700805664,456.71104621887207,22,0,0.008895112535850958
2025-05-02,10808.831722259521,456.71104621887207,22,0,0.012086330561204894
2025-05-05,10706.022970199585,506.3683338165283,22,2,-0.009511550804164548
2025-05-06,10569.3705368042,44.72831916809082,23,1,-0.012764070633489277
2025-05-07,10721.854011535645,44.72831916809082,23,0,0.01442692109245991
2025-05-08,10952.075841903687,44.72831916809082,23,0,0.021472203419329094
2025-05-09,10990.335439682007,599.8882923126221,22,1,0.0034933649410950895
2025-05-12,11598.240785598755,1502.2526760101318,20,2,0.055312719912244734
2025-05-13,11742.859928131104,2162.4886474609375,19,1,0.012469058472377892
2025-05-14,11637.122825622559,2162.4886474609375,19,0,-0.0090043739902953
2025-05-15,11616.834468841553,2162.4886474609375,19,0,-0.0017434169154195711
2025-05-16,11676.117431640625,2162.4886474609375,19,0,0.005103194244359788
2025-05-19,11617.949893951416,2162.4886474609375,19,0,-0.004981753397887534
2025-05-20,11530.243755340576,1589.0886459350586,20,1,-0.007549192362802493
2025-05-21,11205.175636291504,1589.0886459350586,20,0,-0.02819264934433907
2025-05-22,11247.931247711182,684.0900993347168,22,2,0.0038157020298013045
2025-05-23,11228.841355323792,684.0900993347168,22,0,-0.0016971914183130377
2025-05-26,11228.841355323792,137.17011642456055,23,1,0.0
2025-05-27,11562.153968811035,137.17011642456055,23,0,0.02968361587272894
2025-05-28,11418.290584564209,755.2701301574707,22,1,-0.012442611007853599
2025-05-29,11442.944278717041,755.2701301574707,22,0,0.0021591405447467515
2025-05-30,11415.80341053009,755.2701301574707,22,0,-0.0023718430786585643
2025-06-02,11472.171452522278,755.2701301574707,22,0,0.004937720103010301
2025-06-03,11640.46061038971,755.2701301574707,22,0,0.014669337759106726
2025-06-04,11715.162602424622,1171.7901191711426,21,1,0.006417442963402742
2025-06-05,11723.969440460205,586.3527755737305,22,1,0.0007517469739395377
2025-06-06,11896.3499917984,586.3527755737305,22,0,0.014703258330177826
2025-06-09,11942.161728858948,586.3527755737305,22,0,0.0038509069666015083
2025-06-10,12139.329193115234,586.3527755737305,22,0,0.0165101988009273
2025-06-11,12138.289302825928,202.92278289794922,23,1,-8.566291207390275e-05
2025-06-12,12144.546188354492,202.92278289794922,23,0,0.0005154668316487143
2025-06-13,11887.606844902039,202.92278289794922,23,0,-0.021156767776043806
2025-06-16,12014.623226165771,202.92278289794922,23,0,0.010684773051541807
2025-06-17,11769.52540397644,202.92278289794922,23,0,-0.020399959081159547
2025-06-18,11761.598092079163,202.92278289794922,23,0,-0.0006735455870293672
2025-06-19,11761.598092079163,202.92278289794922,23,0,0.0
2025-06-20,11738.454807281494,202.92278289794922,23,0,-0.0019676989994458216
2025-06-23,11787.793720245361,202.92278289794922,23,0,0.004203186345553833
2025-06-24,12023.78624534607,202.92278289794922,23,0,0.020020075910846202
2025-06-25,11963.820453643799,202.92278289794922,23,0,-0.004987263618852267
2025-06-26,12169.850545883179,202.92278289794922,23,0,0.017221095304604805
2025-06-27,12209.132431983948,202.92278289794922,23,0,0.0032278034929571486
2025-06-30,12244.541058540344,202.92278289794922,23,0,0.002900175483692591
2025-07-01,12433.407668113708,202.92278289794922,23,0,0.015424556026265579
2025-07-02,12656.234684944153,202.92278289794922,23,0,0.017921636833472254
2025-07-03,12739.13908958435,202.92278289794922,23,0,0.006550479404338283
2025-07-04,12739.13908958435,202.92278289794922,23,0,0.0
2025-07-07,12573.214708328247,202.92278289794922,23,0,-0.01302477193233298
2025-07-08,12687.328611373901,202.92278289794922,23,0,0.009075952784777241
2025-07-09,12869.356052398682,202.92278289794922,23,0,0.014347184234007937
2025-07-10,12972.629453659058,202.92278289794922,23,0,0.008024752819013603
2025-07-11,12836.04849433899,202.92278289794922,23,0,-0.01052839440207276
2025-07-14,12838.554651260376,202.92278289794922,23,0,0.00019524364702205865
2025-07-15,12640.864718437195,202.92278289794922,23,0,-0.015398145522850903
2025-07-16,12698.485367774963,202.92278289794922,23,0,0.004558283837475585
2025-07-17,12971.13747215271,202.92278289794922,23,0,0.02147123034607401
2025-07-18,12926.706350326538,202.92278289794922,23,0,-0.0034253836197141174
2025-07-21,12858.500157356262,202.92278289794922,23,0,-0.005276378307189855
2025-07-22,13103.49375629425,202.92278289794922,23,0,0.01905304630710214
2025-07-23,13246.43908405304,202.92278289794922,23,0,0.0109089476758919
2025-07-24,13348.02742099762,202.92278289794922,23,0,0.007669105357293926
2025-07-25,13387.09643650055,202.92278289794922,23,0,0.002926950497679659
2025-07-28,13292.025592803955,202.92278289794922,23,0,-0.007101677660092065
2025-07-29,13286.546253204346,202.92278289794922,23,0,-0.0004122275842273204
2025-07-30,13157.95592212677,202.92278289794922,23,0,-0.009678236061276158
2025-07-31,13012.09852695465,202.92278289794922,23,0,-0.011085110486412364
2025-08-01,12820.859175682068,202.92278289794922,23,0,-0.014697041440043579
2025-08-04,13017.10682964325,202.92278289794922,23,0,0.015306903482210865
2025-08-05,12961.473134040833,202.92278289794922,23,0,-0.0042738909905636335
2025-08-06,12844.30207157135,202.92278289794922,23,0,-0.009039949491678967
2025-08-07,12878.234988212585,225.73724174499512,23,2,0.00264186535415889
2025-08-08,12997.906284332275,225.73724174499512,23,0,0.009292523100349115
2025-08-11,12980.468932151794,225.73724174499512,23,0,-0.001341550846654438
2025-08-12,13241.251806259155,225.73724174499512,23,0,0.020090404704980802
2025-08-13,13408.671789169312,225.73724174499512,23,0,0.012643818376070426
2025-08-14,13328.339673995972,225.73724174499512,23,0,-0.00599105686502277
2025-08-15,13339.405579566956,225.73724174499512,23,0,0.0008302538681974614
2025-08-18,13399.385226249695,225.73724174499512,23,0,0.004496425745882826
2025-08-19,13363.13580608368,225.73724174499512,23,0,-0.0027053047251005546
2025-08-20,13285.026272773743,225.73724174499512,23,0,-0.0058451500039665705
2025-08-21,13241.945847511292,225.73724174499512,23,0,-0.0032427805845397506
2025-08-22,13676.620755195618,225.73724174499512,23,0,0.03282560680204116
2025-08-25,13632.984259605408,225.73724174499512,23,0,-0.003190590451492392
2025-08-26,13649.923100471497,225.73724174499512,23,0,0.0012424895784761691
2025-08-27,13759.856232643127,225.73724174499512,23,0,0.008053754688759573
2025-08-28,13716.612168312073,225.73724174499512,23,0,-0.003142770069680334
2025-08-29,13698.637948989868,225.73724174499512,23,0,-0.0013103978665904847
