date,year,return,value,n_features
2019-01-07,2019,0.00585581451976509,12602.717016405375,6
2019-01-14,2019,0.03845964517475696,13087.413041094198,4
2019-01-28,2019,0.035036088967826395,13545.944808760663,4
2019-02-04,2019,0.012596664508099242,13716.57853096185,2
2019-02-11,2019,0.03181947066258917,14153.03279911889,2
2019-02-25,2019,0.014680403511336282,14360.805031519134,4
2019-03-04,2019,-0.024321165913842223,14011.533509691217,4
2019-03-11,2019,0.020996760711777494,14305.730325999257,3
2019-03-18,2019,-0.01606977587223568,14075.840445971804,2
2019-03-25,2019,0.02305386834036597,14400.343018393238,3
2019-04-01,2019,0.014639676536640167,14611.15938219918,4
2019-04-08,2019,0.0031082086384950137,14656.57391400936,5
2019-04-15,2019,-0.01249432676590303,14473.449890259117,6
2019-04-22,2019,0.028914705402021644,14891.945429986881,4
2019-04-29,2019,0.0006871782351068001,14902.178850764765,4
2019-05-06,2019,-0.01787357508869214,14635.823638090502,7
2019-05-13,2019,0.014405820323508867,14846.664683707399,2
2019-05-20,2019,-0.03497455509717272,14327.409191717825,3
2019-06-03,2019,0.0526485822527436,15081.726973016695,4
2019-06-10,2019,-0.0042307171843975035,15017.920451541562,4
2019-06-17,2019,0.027160636007181615,15425.816722510692,4
2019-06-24,2019,0.0004486193554447904,15432.737042465953,6
2019-07-01,2019,0.006919121159362096,15539.51801988335,4
2019-07-08,2019,0.005901514583560585,15631.224712099194,6
2019-07-15,2019,-0.011360467181134115,15453.646696756457,4
2019-07-22,2019,-0.002550558629895916,15414.231264810682,4
2019-07-29,2019,0.0010357655447604253,15430.196794453741,5
2019-08-05,2019,0.04619801312954562,16143.041228555388,5
2019-08-12,2019,-0.01007705819610567,15980.366862633102,5
2019-08-19,2019,-0.018708945627295602,15681.391047895862,6
2019-08-26,2019,0.05057759953934413,16474.518164536195,5
2019-09-09,2019,0.007694725013923054,16601.28505154918,7
2019-09-16,2019,-0.0026432418520425326,16557.403840103238,5
2019-09-23,2019,-0.014382015840458251,16319.274995798009,4
2019-09-30,2019,-0.014918754480409047,16075.81173883742,3
2019-10-07,2019,0.0021279680926031275,16110.020553280361,1
2019-10-14,2019,0.012893083532008442,16317.728393976178,3
2019-10-21,2019,0.04643946615104514,17075.514989390183,4
2019-10-28,2019,0.0027979834845115125,17123.291998320026,5
2019-11-04,2019,0.00530928629167231,17214.20445779501,4
2019-11-11,2019,0.012392153538783045,17427.525522484008,5
2019-11-18,2019,0.002108000423522394,17464.26275366635,3
2019-11-25,2019,0.00014113277160580085,17466.72753347283,3
2019-12-02,2019,0.006455547232277948,17579.484818058496,1
2019-12-09,2019,0.013743067266831655,17821.08086042932,4
2019-12-16,2019,0.015895142916787796,18104.349487637475,3
2019-12-23,2019,0.00479254024342447,18191.115311138,2
2019-12-30,2019,0.007186100883143143,18321.83850094073,3
2020-01-06,2020,-0.004265320574213994,18243.68998622524,2
2020-01-13,2020,0.021171172365320734,18629.93029150309,3
2020-01-27,2020,-0.014156157408350977,18366.202065789967,3
2020-02-03,2020,0.05838178186116137,19438.453668412927,3
2020-02-10,2020,0.019553440421694334,19818.542314108105,3
2020-02-24,2020,-0.08779395645277713,18078.594073225777,3
2020-03-02,2020,-0.07331639107979397,16753.13679998031,5
2020-03-09,2020,0.001886188147537049,16784.7363680465,4
2020-03-16,2020,-0.04269766935493985,16068.067244393815,8
2020-03-23,2020,0.21524259263962114,19526.599696784913,9
2020-03-30,2020,-0.06374482059460053,18281.88010229078,10
2020-04-06,2020,0.02199540452324008,18683.997450586037,9
2020-04-13,2020,0.005713424388203892,18790.747057289358,9
2020-04-20,2020,0.028539027227223134,19327.016699177206,10
2020-04-27,2020,0.010574026222051003,19531.381080548323,10
2020-05-04,2020,0.08471168662319899,21185.91731396201,8
2020-05-11,2020,-0.07649596786648662,19565.280063891132,8
2020-05-18,2020,0.04265973294921407,20399.92968649331,10
2020-06-01,2020,0.1438762128650825,23334.994312499937,10
2020-06-08,2020,-0.11729427956531431,20597.932965954547,11
2020-06-15,2020,-0.02686666579110426,20044.53518497068,7
2020-06-22,2020,-0.06707326629258484,18700.082738798053,9
2020-06-29,2020,-0.008894634384547583,18533.752339875653,7
2020-07-06,2020,-0.018005375461897455,18200.045170278372,9
2020-07-13,2020,0.04168397517741022,18958.695401384,9
2020-07-20,2020,0.018082849895206875,19301.522644536173,10
2020-07-27,2020,0.011129624377213132,19516.341341478135,6
2020-08-03,2020,0.02143190566034501,19934.613727943783,7
2020-08-10,2020,0.007050311357494787,20075.15896151718,7
2020-08-17,2020,-0.015599586837945545,19761.994776011434,9
2020-08-24,2020,0.01107836531272698,19980.925373448288,10
2020-08-31,2020,-0.029799278892674096,19385.508205711194,9
2020-09-14,2020,-0.038428238157598514,18640.55727957604,9
2020-09-21,2020,-0.01602333773394001,18341.87333473654,8
2020-09-28,2020,0.004039440628455682,18415.964243086863,7
2020-10-05,2020,0.004480346351174569,18498.47414128674,6
2020-10-12,2020,-0.02421187897094128,18050.59132423082,7
2020-10-19,2020,0.02661980765295523,18531.094593303944,8
2020-10-26,2020,-0.019455028846073974,18170.57161344189,5
2020-11-02,2020,0.06400382742500771,19333.557743202367,6
2020-11-09,2020,0.00018100838549194308,19337.05727927528,6
2020-11-16,2020,-0.01036309351967466,19136.665546294844,6
2020-11-23,2020,0.03698945670447744,19844.520407987584,8
2020-11-30,2020,0.0683403155981108,21200.701195562608,7
2020-12-07,2020,-0.01321657219995367,20920.500597521812,6
2020-12-14,2020,0.02528181491801156,21449.40882162051,9
2020-12-21,2020,0.0016176949690665742,21484.107422360696,8
2020-12-28,2020,-0.002069257603268271,21439.651269727543,9
2021-01-04,2021,0.05133850894488046,22540.330998213565,10
2021-01-11,2021,0.004947539230669018,22651.850170099493,10
2021-01-25,2021,-0.04059163528807974,21732.374529394587,6
2021-02-01,2021,0.05515129200091299,22930.94306293843,8
2021-02-08,2021,0.013101028172955675,23231.36199403843,7
2021-02-22,2021,-0.005636321323096294,23100.422573066862,5
2021-03-01,2021,-0.002084001160222526,23052.281265622958,9
2021-03-08,2021,0.06771047741348683,24613.16223558827,10
2021-03-15,2021,-0.03292705082510654,23802.723391690462,6
2021-03-22,2021,-0.007339922117723685,23628.013255805734,10
2021-03-29,2021,0.04323145156245774,24649.486566391206,10
2021-04-05,2021,0.00011016590051307062,24652.20209927598,8
2021-04-12,2021,0.011896254788920303,24945.47097655692,10
2021-04-19,2021,0.0065294745480520945,25108.351794387523,9
2021-04-26,2021,0.007091934132345201,25286.418571485072,7
2021-05-03,2021,0.0006214419681702443,25302.132613210113,8
2021-05-10,2021,0.013544476477722422,25644.83675322595,8
2021-05-17,2021,-0.005008558078584235,25516.393098931607,6
2021-05-24,2021,0.031839449603406254,26328.821011065742,10
2021-06-07,2021,0.009964263906839832,26591.16833197595,10
2021-06-14,2021,-0.05073234216358833,25242.13608162857,9
2021-06-21,2021,0.005231780991026802,25374.197409353346,9
2021-06-28,2021,-0.0014872571585069938,25336.459452614916,10
2021-07-12,2021,-0.07143551514742585,23526.5364196055,10
2021-07-19,2021,0.05288398456639391,24770.713408520623,9
2021-07-26,2021,-0.010899547543134092,24500.723840047103,10
2021-08-02,2021,0.007266255591265669,24678.7523616399,6
2021-08-09,2021,0.01757590794203683,25112.503841272406,9
2021-08-16,2021,-0.024240016803749154,24503.77632617575,6
2021-08-23,2021,0.032144845093329336,25291.446420382257,9
2021-08-30,2021,-0.031751302948579294,24488.410043080938,7
2021-09-13,2021,-0.006095538504460774,24339.139996750313,7
2021-09-20,2021,0.05194948313382129,25603.545739503206,9
2021-09-27,2021,-0.018369259059602495,25133.22757496989,8
2021-10-04,2021,0.02946794100283582,25873.852042359948,8
2021-10-11,2021,0.028827112995412484,26619.720498811643,8
2021-10-18,2021,0.0015561533532968742,26661.144866129693,8
2021-10-25,2021,-0.011415001518553281,26356.807856996453,7
2021-11-01,2021,0.032125891524818276,27203.5438071508,8
2021-11-08,2021,-0.01928015433197361,26679.055284172326,9
2021-11-15,2021,-0.02467238627797962,26020.81932666965,8
2021-11-22,2021,-0.03773003631786792,25039.052868453728,7
2021-11-29,2021,-0.04733088849126014,23853.93224921018,6
2021-12-06,2021,0.020754254146819882,24349.002821511313,8
2021-12-13,2021,-0.010275061285945053,24098.815325268635,7
2021-12-20,2021,0.07436533563625784,25890.931815368433,7
2021-12-27,2021,-0.020997754523387212,25347.280384727568,6
2022-01-03,2022,-0.0593238172339536,23843.58295580621,7
2022-01-10,2022,-0.06871755301450928,22205.110279984747,6
2022-01-24,2022,0.0009514541234578733,22226.237423722476,7
2022-01-31,2022,0.0031801149969960863,22296.91941468045,9
2022-02-07,2022,-0.006322251878387164,22155.95267402874,9
2022-02-14,2022,0.03069763300840439,22836.08797816765,7
2022-02-28,2022,-0.027877223414218576,22199.481251693516,7
2022-03-07,2022,0.0571320469409099,23467.783056629123,8
2022-03-14,2022,0.07437844597462541,25213.280290850846,6
2022-03-21,2022,0.0009178901274000895,25236.423311909188,8
2022-03-28,2022,0.0034448521491099227,25323.359058991067,6
2022-04-04,2022,-0.03628881781506663,24404.404295633823,9
2022-04-11,2022,-0.005396987608303294,24272.694028062262,11
2022-04-18,2022,-0.036413447748371054,23388.84155235922,6
2022-04-25,2022,-0.06015326864529334,21981.926283157954,9
2022-05-02,2022,-0.0029254495352962094,21917.619267127975,6
2022-05-09,2022,0.06008050371628645,23234.440872958807,8
2022-05-16,2022,-0.005616871811568258,23103.935996961936,9
2022-05-23,2022,0.05793104489966837,24442.371150561004,10
2022-06-06,2022,-0.09672404873436559,22078.20605221069,10
2022-06-13,2022,0.07751098034141306,23789.50944749726,7
2022-06-27,2022,-0.02927977427166244,23092.95798084096,8
2022-07-11,2022,0.003182812053234585,23166.458525847225,10
2022-07-18,2022,0.02850346017767095,23826.78275389638,9
2022-07-25,2022,0.05297572939619416,25089.0239494487,11
