date,ticker,action,price,shares,amount,cash_balance,total_value,strategy,pnl
2025-10-24,STX,SELL,234.1199951171875,4,936.0117404785157,1923.525804991728,10397.151782713896,new_ml,30.371725830078162
2025-10-24,INTC,SELL,38.279998779296875,27,1033.043187057495,2956.568992049223,10397.151782713896,new_ml,2.7231911773681077
2025-10-24,FDS,SELL,284.168701171875,3,852.0798504638673,3808.6488425130906,10397.151782713896,new_ml,-5.027968139648351
2025-10-24,PLTR,BUY,184.6300048828125,5,923.6115994262694,2885.037243086821,10397.151782713896,new_ml,0.0
2025-10-24,TER,BUY,144.17105102539062,7,1009.7019558563231,1875.335287230498,10397.151782713896,new_ml,0.0
2025-10-24,REGN,BUY,577.2262573242188,1,577.5148704528808,1297.820416777617,10397.151782713896,new_ml,0.0
2025-10-27,TTD,SELL,53.61000061035156,20,1071.6639122009278,2369.484328978545,10668.583928435331,new_ml,85.26391830444345
2025-10-27,TER,SELL,147.38861083984375,7,1031.2044157409669,3400.6887447195118,10668.583928435331,new_ml,22.007058563232476
2025-10-27,REGN,SELL,584.5770263671875,1,584.284737854004,3984.973482573516,10668.583928435331,new_ml,7.058480529785243
2025-10-27,MRNA,BUY,26.65999984741211,40,1066.9331938934326,2918.040288680083,10668.583928435331,new_ml,0.0
2025-10-27,WBD,BUY,21.040000915527344,50,1052.5260457992554,1865.5142428808276,10668.583928435331,new_ml,0.0
2025-10-27,FDS,BUY,289.1787414550781,3,867.9699924774169,997.5442504034107,10668.583928435331,new_ml,0.0
2025-10-28,APP,SELL,626.8200073242188,1,626.5065973205567,1624.0508477239673,10487.235626135833,new_ml,27.196599761962943
2025-10-28,ON,SELL,51.79999923706055,19,983.7078855113983,2607.7587332353655,10487.235626135833,new_ml,-2.962120286941513
2025-10-28,WBD,SELL,20.989999771118164,50,1048.9752385616302,3656.733971796996,10487.235626135833,new_ml,-3.0248072147369385
2025-10-28,TTD,BUY,51.66999816894531,20,1033.9166633605957,2622.8173084364,10487.235626135833,new_ml,0.0
2025-10-28,ARE,BUY,62.939998626708984,16,1007.5434980163574,1615.2738104200425,10487.235626135833,new_ml,0.0
2025-10-28,INTC,BUY,41.529998779296875,25,1038.769094467163,576.5047159528795,10487.235626135833,new_ml,0.0
2025-10-29,IT,SELL,249.74000549316406,4,998.46054196167,1574.9652579145495,10242.98067954541,new_ml,11.540559051513696
2025-10-29,PLTR,SELL,198.80999755859375,5,993.5529627990724,2568.5182207136218,10242.98067954541,new_ml,70.40293838500986
2025-10-29,MRNA,SELL,24.700000762939453,40,987.5060305023194,3556.024251215941,10242.98067954541,new_ml,-78.89396339416498
2025-10-29,TTD,SELL,49.959999084472656,20,998.7003816986085,4554.724632914549,10242.98067954541,new_ml,-34.6995816802978
2025-10-29,ARE,SELL,58.7599983215332,16,939.6898931579591,5494.414526072508,10242.98067954541,new_ml,-67.35008486938466
2025-10-29,INTC,SELL,41.34000015258789,25,1032.98325381279,6527.397779885298,10242.98067954541,new_ml,-5.266715669631822
2025-10-29,APP,BUY,631.2000122070312,1,631.5156122131348,5895.882167672164,10242.98067954541,new_ml,0.0
2025-10-29,PSKY,BUY,15.880000114440918,64,1016.8281673278808,4879.054000344283,10242.98067954541,new_ml,0.0
2025-10-29,ZBRA,BUY,270.7699890136719,3,812.716122024536,4066.337878319747,10242.98067954541,new_ml,0.0
2025-10-29,VRSK,BUY,208.0,4,832.4159999999999,3233.9218783197466,10242.98067954541,new_ml,0.0
2025-10-29,REGN,BUY,652.0924072265625,1,652.4184534301758,2581.503424889571,10242.98067954541,new_ml,0.0
2025-10-29,KVUE,BUY,14.131980895996094,72,1018.0113758239745,1563.4920490655963,10242.98067954541,new_ml,0.0
2025-10-30,DOW,SELL,23.451608657836914,44,1031.3548455543519,2594.846894619948,10105.090430108077,new_ml,32.001001865387025
2025-10-30,PSKY,SELL,15.460000038146973,64,988.9452824401856,3583.792177060134,10105.090430108077,new_ml,-27.374724884033185
2025-10-30,ZBRA,SELL,261.3699951171875,3,783.7179303588867,4367.510107419021,10105.090430108077,new_ml,-28.592036682128878
2025-10-30,VRSK,SELL,217.60000610351562,4,869.9648244018555,5237.474931820876,10105.090430108077,new_ml,37.96482440185548
2025-10-30,REGN,SELL,653.220947265625,1,652.8943367919923,5890.369268612868,10105.090430108077,new_ml,0.8019295654297594
