date,value,cash,positions
2024-08-07,10015.891008377075,2147.2594203948975,18
2024-08-08,10167.492681503296,2147.2594203948975,18
2024-08-09,10195.74886894226,2147.2594203948975,18
2024-08-12,10163.661642074585,2147.2594203948975,18
2024-08-13,10283.959398269653,2147.2594203948975,18
2024-08-14,10318.118246078491,2147.2594203948975,18
2024-08-15,10499.066522598267,2147.2594203948975,18
2024-08-16,10548.703828811646,2147.2594203948975,18
2024-08-19,10626.233358383179,2147.2594203948975,18
2024-08-20,10581.46389579773,2147.2594203948975,18
2024-08-21,10701.25672340393,2147.2594203948975,18
2024-08-22,10718.108694076538,2147.2594203948975,18
2024-08-23,10822.198976516724,2147.2594203948975,18
2024-08-26,10808.980890274048,2147.2594203948975,18
2024-08-27,10775.326742172241,2147.2594203948975,18
2024-08-28,10807.046857833862,2147.2594203948975,18
2024-08-29,10832.885206222534,2147.2594203948975,18
2024-08-30,10925.428289413452,2147.2594203948975,18
2024-09-03,10799.961278915405,2855.5352306365967,17
2024-09-04,10827.379894256592,2855.5352306365967,17
2024-09-05,10760.1284866333,2855.5352306365967,17
2024-09-06,10657.728023529053,2855.5352306365967,17
2024-09-09,10735.032901763916,2855.5352306365967,17
2024-09-10,10757.86664390564,2855.5352306365967,17
2024-09-11,10777.2835521698,2855.5352306365967,17
2024-09-12,10796.969821929932,2855.5352306365967,17
2024-09-13,10900.336101531982,2855.5352306365967,17
2024-09-16,10933.331817626953,2855.5352306365967,17
2024-09-17,10963.58177947998,2855.5352306365967,17
2024-09-18,10955.191564559937,2855.5352306365967,17
2024-09-19,11081.184719085693,2855.5352306365967,17
2024-09-20,11046.041292190552,2855.5352306365967,17
2024-09-23,11085.665641784668,2855.5352306365967,17
2024-09-24,11119.071798324585,2855.5352306365967,17
2024-09-25,11071.992265701294,2855.5352306365967,17
2024-09-26,11279.651670455933,2855.5352306365967,17
2024-09-27,11284.17999458313,2855.5352306365967,17
2024-09-30,11273.801858901978,2855.5352306365967,17
2024-10-01,11214.267747879028,3172.2078037261963,16
2024-10-02,11221.114213943481,3172.2078037261963,16
2024-10-03,11190.70936012268,3172.2078037261963,16
2024-10-04,11262.464792251587,3172.2078037261963,16
2024-10-07,11131.469957351685,3172.2078037261963,16
2024-10-08,11237.149255752563,3172.2078037261963,16
2024-10-09,11287.290460586548,3172.2078037261963,16
2024-10-10,11313.58802986145,3172.2078037261963,16
2024-10-11,11359.992700576782,3172.2078037261963,16
2024-10-14,11429.509057998657,3172.2078037261963,16
2024-10-15,11334.806489944458,3172.2078037261963,16
2024-10-16,11363.469560623169,3172.2078037261963,16
2024-10-17,11397.178033828735,3172.2078037261963,16
2024-10-18,11411.288850784302,3172.2078037261963,16
2024-10-21,11383.37050819397,3172.2078037261963,16
2024-10-22,11319.270616531372,3172.2078037261963,16
2024-10-23,11243.061235427856,3172.2078037261963,16
2024-10-24,11261.452157974243,3172.2078037261963,16
2024-10-25,11323.837404251099,3172.2078037261963,16
2024-10-28,11329.472986221313,3172.2078037261963,16
2024-10-29,11383.728555679321,3172.2078037261963,16
2024-10-30,11527.324632644653,3172.2078037261963,16
2024-10-31,11392.898431777954,3172.2078037261963,16
2024-11-01,11435.517778396606,3003.3762607574463,17
2024-11-04,11426.593217849731,3003.3762607574463,17
2024-11-05,11534.196069717407,3003.3762607574463,17
2024-11-06,11815.018152236938,3003.3762607574463,17
2024-11-07,11917.572565078735,3003.3762607574463,17
2024-11-08,11852.003190994263,3003.3762607574463,17
2024-11-11,11852.364938735962,3003.3762607574463,17
2024-11-12,11851.844362258911,3003.3762607574463,17
2024-11-13,11815.51812171936,3003.3762607574463,17
2024-11-14,11754.95555305481,3003.3762607574463,17
2024-11-15,11603.433862686157,3003.3762607574463,17
2024-11-18,11642.368898391724,3003.3762607574463,17
2024-11-19,11667.255289077759,3003.3762607574463,17
2024-11-20,11689.192415237427,3003.3762607574463,17
2024-11-21,11724.306673049927,3003.3762607574463,17
2024-11-22,11741.135133743286,3003.3762607574463,17
2024-11-25,11802.470407485962,3003.3762607574463,17
2024-11-26,11841.764505386353,3003.3762607574463,17
2024-11-27,11806.223398208618,3003.3762607574463,17
2024-11-29,11828.46953010559,3003.3762607574463,17
2024-12-02,11847.465799331665,2581.981119155884,18
2024-12-03,11867.727663040161,2581.981119155884,18
2024-12-04,11984.907388687134,2581.981119155884,18
2024-12-05,11861.266962051392,2581.981119155884,18
2024-12-06,11912.326944351196,2581.981119155884,18
2024-12-09,11885.277627944946,2581.981119155884,18
2024-12-10,11920.479997634888,2581.981119155884,18
2024-12-11,12070.398477554321,2581.981119155884,18
2024-12-12,11915.508745193481,2581.981119155884,18
2024-12-13,11858.20252418518,2581.981119155884,18
2024-12-16,11954.894235610962,2581.981119155884,18
2024-12-17,11874.107149124146,2581.981119155884,18
2024-12-18,11556.101663589478,2581.981119155884,18
2024-12-19,11526.12515449524,2581.981119155884,18
2024-12-20,11661.831056594849,2581.981119155884,18
