date,ticker,action,shares,price,pnl
2025-04-09,APTV,SELL,8,54.41999816894531,19.519989013671875
2025-04-09,BBY,SELL,7,61.978271484375,16.49509048461914
2025-04-09,CRL,SELL,3,139.07000732421875,15.0
2025-04-09,CVX,SELL,3,141.10838317871094,17.045562744140625
2025-04-09,AMZN,SELL,2,191.10000610351562,40.8800048828125
2025-04-09,APO,SELL,4,127.02873229980469,71.36148071289062
2025-04-10,ARE,BUY,6,72.08340454101562,0.0
2025-04-10,APP,BUY,1,263.8299865722656,0.0
2025-04-10,APTV,BUY,10,49.41999816894531,0.0
2025-04-10,TECH,BUY,10,49.04025650024414,0.0
2025-04-14,APTV,SELL,10,50.099998474121094,6.8000030517578125
2025-04-14,TECH,SELL,10,52.30562973022461,32.65373229980469
2025-04-14,ALB,BUY,8,56.71030044555664,0.0
2025-04-14,APA,BUY,34,14.590481758117676,0.0
2025-04-15,CRL,BUY,4,105.91999816894531,0.0
2025-04-16,APH,BUY,7,64.56607818603516,0.0
2025-04-16,ANET,BUY,6,71.87000274658203,0.0
2025-04-16,AVGO,BUY,2,173.9020233154297,0.0
2025-04-17,CDNS,BUY,1,260.2200012207031,0.0
2025-04-17,CBRE,BUY,4,117.62000274658203,0.0
2025-04-21,ABNB,BUY,4,111.61000061035156,0.0
2025-04-21,AMP,BUY,1,446.6712951660156,0.0
2025-04-21,APO,BUY,4,118.30632781982422,0.0
2025-04-21,TECH,BUY,10,47.29806137084961,0.0
2025-04-22,APP,SELL,1,237.7100067138672,-26.119979858398438
2025-04-23,BAC,BUY,13,38.111839294433594,0.0
2025-04-23,BLDR,BUY,4,117.26000213623047,0.0
2025-04-24,CRL,SELL,4,115.76000213623047,39.360015869140625
2025-04-25,AES,BUY,54,9.618693351745605,0.0
2025-04-25,ADI,BUY,2,192.26589965820312,0.0
2025-04-25,BX,BUY,4,129.9789581298828,0.0
2025-04-25,CCL,BUY,28,18.600000381469727,0.0
2025-04-28,BBY,BUY,8,65.70767974853516,0.0
2025-05-05,ANET,SELL,6,90.37999725341797,111.05996704101562
2025-05-05,BDX,BUY,3,164.2075653076172,0.0
2025-05-06,CRL,BUY,4,115.41000366210938,0.0
2025-05-09,CRL,SELL,4,138.7899932861328,93.51995849609375
2025-05-12,XYZ,SELL,7,55.02000045776367,-64.81998825073242
2025-05-12,BDX,SELL,3,172.4081268310547,24.6016845703125
2025-05-13,AES,SELL,54,12.226592063903809,140.82653045654297
2025-05-20,XYZ,BUY,10,57.34000015258789,0.0
2025-05-22,AES,BUY,59,9.381839752197266,0.0
2025-05-22,APP,BUY,1,351.4700012207031,0.0
2025-05-26,CRL,BUY,4,136.72999572753906,0.0
2025-05-28,XYZ,SELL,10,61.810001373291016,44.70001220703125
2025-06-04,APP,SELL,1,416.5199890136719,65.04998779296875
2025-06-05,BF-B,BUY,22,26.610788345336914,0.0
2025-06-11,APP,BUY,1,383.42999267578125,0.0
2025-08-07,APA,SELL,34,19.244543075561523,158.23808479309082
2025-08-07,CNC,BUY,25,25.260000228881836,0.0
2025-09-11,CNC,SELL,25,34.08000183105469,220.5000400543213
2025-10-03,CNC,BUY,18,38.70000076293945,0.0
2025-10-07,APP,SELL,1,631.8499755859375,248.41998291015625
2025-10-20,ABNB,SELL,4,127.20999908447266,62.399993896484375
2025-10-30,BAX,BUY,36,19.14986801147461,0.0
2025-10-30,CMG,BUY,21,32.529998779296875,0.0
2025-10-31,ARE,SELL,6,58.220001220703125,-83.180419921875
2025-11-03,AJG,BUY,2,242.33642578125,0.0
2025-11-12,CMG,SELL,21,31.31999969482422,-25.40998077392578
2025-11-12,AXON,BUY,1,569.510009765625,0.0
