date,ticker,action,price,shares,amount,cash_balance,total_value,strategy,confidence
2025-11-20,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9691.27,lstm,
2025-11-21,TMUS,SELL,208.3430572433472,3,625.0291717300415,797.8791251950282,9896.867684177878,lstm,0.5552
2025-11-21,CHTR,SELL,202.8985,3,608.6955,1406.574625195028,9896.867684177878,lstm,0.5589
2025-11-21,PTC,BUY,172.2060551147461,4,688.8242204589844,717.7504047360437,9896.867684177878,lstm,0.5598
2025-11-21,CMCSA,BUY,27.36367538166046,25,684.0918845415115,33.65852019453223,9896.867684177878,lstm,0.5591
2025-11-21,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9896.87,lstm,
2025-11-24,PTC,SELL,170.07492366027833,4,680.2996946411133,713.9582148356455,9812.776905509474,lstm,0.5587
2025-11-24,CMCSA,SELL,26.44676908493042,25,661.1692271232605,1375.127441958906,9812.776905509474,lstm,0.5573
2025-11-24,CHTR,BUY,199.17954183197023,3,597.5386254959107,777.5888164629954,9812.776905509474,lstm,0.5609
2025-11-24,WY,BUY,21.317729038238525,31,660.8496001853943,116.73921627760114,9812.776905509474,lstm,0.5587
2025-11-24,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9812.78,lstm,
2025-11-25,WY,SELL,21.920165797233583,31,679.525139714241,796.2643559918422,9996.251162002089,lstm,0.5595
2025-11-25,PTC,BUY,173.52672244262695,4,694.1068897705078,102.1574662213344,9996.251162002089,lstm,0.5617
2025-11-25,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9996.25,lstm,
2025-11-26,CSGP,SELL,67.78608969497681,13,881.2191660346986,983.376632256033,9939.524127293113,lstm,0.5568
2025-11-26,HD,BUY,353.3622617797852,2,706.7245235595703,276.6521086964626,9939.524127293113,lstm,0.5596
2025-11-26,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9939.52,lstm,
2025-11-28,CLX,SELL,107.88603244018556,11,1186.746356842041,1463.3984655385036,9965.023644951343,lstm,0.5581
2025-11-28,CMCSA,BUY,26.703345534324647,54,1441.980658853531,21.417806684972675,9965.023644951343,lstm,0.559
2025-11-28,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9965.02,lstm,
2025-12-01,CMCSA,SELL,26.5667099237442,54,1434.602335882187,1456.0201425671596,9947.017358839514,lstm,0.557
2025-12-01,LYV,BUY,131.16555610656738,10,1311.6555610656735,144.36458150148587,9947.017358839514,lstm,0.5579
2025-12-01,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9947.02,lstm,
2025-12-02,LYV,SELL,128.47572328948974,10,1284.7572328948972,1429.1218143963831,9952.60425130129,lstm,0.5569
2025-12-02,CMCSA,BUY,27.033510457992552,52,1405.7425438156126,23.37927058077048,9952.60425130129,lstm,0.5571
2025-12-02,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9952.6,lstm,
2025-12-03,ADP,SELL,260.0898912200928,4,1040.3595648803712,1063.7388354611417,10055.429212597372,lstm,0.5556
2025-12-03,CMCSA,SELL,27.41628530502319,52,1425.646835861206,2489.385671322348,10055.429212597372,lstm,0.5543
2025-12-03,CPRT,BUY,38.86942347335816,31,1204.9521276741027,1284.433543648245,10055.429212597372,lstm,0.5581
2025-12-03,LYV,BUY,136.07799950408935,9,1224.701995536804,59.731548111440816,10055.429212597372,lstm,0.5568
2025-12-03,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10055.43,lstm,
2025-12-04,PAYX,SELL,111.71411164474488,10,1117.141116447449,1176.8726645588897,10038.501418869497,lstm,0.5541
