date,ticker,action,shares,price
2023-03-15,APA,BUY,68,28.879945755004883
2023-03-15,CBRE,BUY,26,73.91000366210938
2023-03-15,CF,BUY,29,67.9067611694336
2023-03-15,DVN,BUY,48,40.9376106262207
2023-03-15,HAL,BUY,69,28.52963638305664
2023-03-15,SLB,BUY,47,42.23686981201172
2023-03-15,STLD,BUY,20,97.6236343383789
2023-03-15,VTRS,BUY,237,8.373026847839355
2023-03-15,WDC,BUY,76,25.894622802734375
2023-03-16,AIG,SELL,41,47.508296966552734
2023-03-16,FITB,SELL,74,23.62300682067871
2023-03-16,RF,SELL,118,16.394771575927734
2023-03-17,ALL,BUY,20,98.66157531738281
2023-03-17,AIZ,BUY,19,100.21027374267578
2023-03-17,FIS,BUY,41,48.21174240112305
2023-03-20,RJF,SELL,22,88.21880340576172
2023-03-20,USB,SELL,56,30.154781341552734
2023-03-21,AMP,SELL,6,290.400390625
2023-03-21,HIG,SELL,31,65.98738861083984
2023-03-21,KEY,BUY,189,10.92304515838623
2023-03-23,SCHW,BUY,39,50.788326263427734
2023-03-23,COIN,BUY,30,66.30000305175781
2023-03-27,FITB,BUY,85,23.44445037841797
2023-05-02,KEY,SELL,189,8.312129974365234
2023-05-17,PLTR,SELL,257,10.25
2023-05-25,DLTR,BUY,14,136.66000366210938
2023-05-26,DLTR,SELL,14,142.4499969482422
2023-05-26,ULTA,BUY,4,420.2699890136719
2023-05-31,AMD,SELL,26,118.20999908447266
2023-05-31,ALB,BUY,10,185.99342346191406
2023-06-01,DG,BUY,13,153.34556579589844
2023-06-01,KEY,BUY,246,8.405524253845215
2023-06-02,DG,SELL,13,157.38143920898438
2023-06-02,ULTA,SELL,4,422.3999938964844
2023-06-05,AMD,BUY,17,117.93000030517578
2023-06-06,EPAM,SELL,6,208.77000427246094
2023-06-07,DDOG,BUY,22,93.58999633789062
2023-06-21,TSLA,SELL,10,259.4599914550781
2023-06-22,PSKY,BUY,143,14.992331504821777
2023-06-28,COIN,SELL,30,70.75
2023-07-13,PGR,BUY,21,111.68992614746094
2023-07-17,PGR,SELL,21,118.6668930053711
2023-07-20,MPWR,BUY,4,519.9951171875
2023-08-04,GNRC,SELL,15,113.94999694824219
2023-08-04,RMD,BUY,13,175.0023651123047
2023-08-07,RMD,SELL,13,182.24652099609375
2023-08-08,DXCM,BUY,21,110.19000244140625
2023-08-09,IFF,SELL,25,60.303871154785156
2023-08-09,PLTR,BUY,153,15.25
2023-08-10,APP,SELL,138,37.20000076293945
2023-08-10,COIN,BUY,28,83.38999938964844
2023-08-10,DDOG,SELL,22,90.72000122070312
2023-08-10,TPR,BUY,72,32.4168586730957
2023-08-11,PODD,BUY,10,225.27999877929688
2023-10-27,ALGN,SELL,6,190.94000244140625
2023-11-01,AIZ,SELL,19,160.70262145996094
2023-11-01,TECH,BUY,39,52.234375
2023-11-01,EL,BUY,20,99.94158172607422
2023-11-01,ON,SELL,26,64.83999633789062
2023-11-01,PAYC,BUY,13,148.0918731689453
2023-11-02,EL,SELL,20,109.380126953125
2023-11-02,DOC,SELL,111,14.64136028289795
2023-11-02,PAYC,SELL,13,159.8555145263672
2023-11-03,EL,BUY,20,106.109619140625
2023-11-06,ALGN,BUY,11,197.77000427246094
2023-11-06,EL,SELL,20,107.74488067626953
2023-11-06,PSKY,SELL,143,12.2808256149292
2023-11-07,MTCH,SELL,43,29.30101203918457
2023-11-09,BDX,BUY,9,222.61961364746094
2023-11-10,TTD,BUY,34,64.01000213623047
2023-11-14,TTD,SELL,34,67.62999725341797
2023-11-17,APP,BUY,58,39.099998474121094
2023-11-21,XYZ,SELL,26,58.66999816894531
2023-11-24,PODD,SELL,10,187.9499969482422
2023-12-05,SMCI,BUY,90,26.29599952697754
2023-12-06,COIN,SELL,28,134.6300048828125
2023-12-12,ORCL,BUY,24,98.61127471923828
2024-01-02,COIN,BUY,16,156.8800048828125
2024-01-02,PAYC,BUY,12,201.49807739257812
2024-01-03,MRNA,SELL,11,108.58000183105469
2024-01-16,COIN,SELL,16,133.8800048828125
2024-01-16,FSLR,BUY,16,149.10000610351562
2024-01-19,SMCI,SELL,90,42.33599853515625
2024-01-22,ADM,BUY,54,48.01616287231445
2024-01-23,MMM,BUY,34,76.22027587890625
2024-01-25,ADM,SELL,54,47.72819519042969
2024-01-25,HUM,BUY,7,347.73052978515625
2024-01-30,HUM,SELL,7,368.7395935058594
2024-01-31,ROK,BUY,10,244.63348388671875
2024-02-01,ROK,SELL,10,254.03131103515625
2024-02-05,APD,BUY,12,208.3612060546875
2024-02-06,CHTR,SELL,6,290.2799987792969
2024-02-06,PLTR,SELL,153,21.8700008392334
2024-02-08,APD,SELL,12,210.16749572753906
2024-02-08,SNA,BUY,10,252.22784423828125
2024-02-09,EXPE,BUY,20,130.06016540527344
2024-02-12,SNA,SELL,10,253.84913635253906
2024-02-14,AKAM,BUY,23,114.80000305175781
2024-02-15,EXPE,SELL,20,137.42074584960938
2024-02-20,APP,SELL,58,57.33000183105469
2024-02-21,PANW,BUY,20,130.98500061035156
2024-02-21,SMCI,BUY,36,73.41699981689453
2024-02-22,PANW,SELL,20,133.91000366210938
2024-02-22,SMCI,SELL,36,97.552001953125
2024-02-23,SMCI,BUY,31,86.0009994506836
2024-02-26,SMCI,SELL,31,87.63400268554688
2024-02-27,PODD,BUY,16,166.6199951171875
2024-02-29,ALB,SELL,10,133.38499450683594
2024-03-01,XEL,BUY,59,46.58430862426758
2024-03-05,ALB,BUY,26,105.85649871826172
2024-03-11,PANW,BUY,20,141.6649932861328
2024-03-11,XEL,SELL,59,49.72313690185547
2024-03-12,LUV,BUY,103,27.77398109436035
2024-05-17,AKAM,SELL,23,95.20999908447266
2024-06-05,CRWD,SELL,20,342.17999267578125
2024-06-05,DELL,BUY,21,134.25634765625
2024-06-06,SMCI,BUY,36,77.79199981689453
2024-06-06,VST,BUY,33,85.34526824951172
2024-06-10,TPL,SELL,2,707.4091796875
2024-07-22,SCHW,SELL,39,63.494171142578125
2024-07-22,CRWD,BUY,11,263.9100036621094
2024-07-23,CRWD,SELL,11,268.8800048828125
2024-07-24,LW,BUY,52,54.405860900878906
2024-07-25,LW,SELL,52,51.11759567260742
2024-07-25,LULU,BUY,11,247.32000732421875
2024-07-26,MMM,SELL,34,123.47782135009766
2024-07-29,DXCM,SELL,21,67.4800033569336
2024-07-30,CDNS,BUY,11,253.11000061035156
2024-07-30,CRWD,BUY,12,233.64999389648438
2024-08-06,APO,SELL,35,101.31058502197266
2024-08-06,COIN,BUY,14,194.1699981689453
2024-08-06,TSLA,BUY,13,200.63999938964844
2024-08-08,NCLH,SELL,138,15.520000457763672
2024-08-08,SMCI,SELL,36,50.99399948120117
2024-08-08,WBD,BUY,394,7.019999980926514
2024-09-09,COIN,SELL,14,155.0500030517578
2024-09-09,INTC,BUY,149,19.06999969482422
2024-09-26,VST,SELL,33,113.51243591308594
2024-09-27,MRNA,BUY,47,65.75
2024-11-06,MET,SELL,36,80.90470123291016
2024-11-06,PAYC,SELL,12,229.07296752929688
2024-11-06,SMCI,BUY,143,22.700000762939453
2024-11-06,WYNN,BUY,38,84.2715835571289
2024-11-12,TSLA,SELL,13,328.489990234375
2024-11-15,MCHP,BUY,53,60.51985549926758
2024-11-19,SMCI,SELL,143,28.270000457763672
2024-11-19,WAT,BUY,9,344.7099914550781
